pred,pred_subcategory,j_day,value,true_j_day
snow_cover,NA,102,0,257
max_temp,NA,103,16.5,258
snow_cover,NA,103,0,258
max_temp,NA,104,18.5,259
snow_cover,NA,104,0,259
max_temp,NA,105,23,260
snow_cover,NA,105,0,260
max_temp,NA,106,20,261
snow_cover,NA,106,0,261
max_temp,NA,107,21.5,262
snow_cover,NA,107,0,262
max_temp,NA,108,23,263
snow_cover,NA,108,0,263
max_temp,NA,109,21.5,264
snow_cover,NA,109,0,264
max_temp,NA,110,20,265
snow_cover,NA,110,0,265
max_temp,NA,111,22,266
snow_cover,NA,111,0,266
max_temp,NA,112,24,267
snow_cover,NA,112,0,267
max_temp,NA,113,16,268
snow_cover,NA,113,0,268
max_temp,NA,114,7,269
snow_cover,NA,114,0,269
max_temp,NA,115,10.5,270
snow_cover,NA,115,0,270
max_temp,NA,116,5.5,271
snow_cover,NA,116,0,271
max_temp,NA,117,8.5,272
snow_cover,NA,117,0,272
max_temp,NA,118,14.5,273
snow_cover,NA,118,0,273
max_temp,NA,119,17,274
snow_cover,NA,119,0,274
max_temp,NA,120,12.5,275
snow_cover,NA,120,0,275
max_temp,NA,121,5,276
snow_cover,NA,121,0,276
max_temp,NA,122,11,277
snow_cover,NA,122,0,277
max_temp,NA,123,12,278
snow_cover,NA,123,0,278
max_temp,NA,124,11.5,279
snow_cover,NA,124,0,279
max_temp,NA,125,14,280
snow_cover,NA,125,0,280
max_temp,NA,126,11,281
snow_cover,NA,126,0,281
max_temp,NA,127,13.5,282
snow_cover,NA,127,0,282
max_temp,NA,128,21,283
snow_cover,NA,128,0,283
max_temp,NA,129,17,284
snow_cover,NA,129,0,284
max_temp,NA,130,18.5,285
snow_cover,NA,130,0,285
max_temp,NA,131,23.5,286
snow_cover,NA,131,0,286
max_temp,NA,132,17,287
snow_cover,NA,132,0,287
max_temp,NA,133,13,288
snow_cover,NA,133,0,288
max_temp,NA,134,10,289
snow_cover,NA,134,0,289
max_temp,NA,135,0.5,290
snow_cover,NA,135,0,290
max_temp,NA,136,-3,291
snow_cover,NA,136,0,291
max_temp,NA,137,2.5,292
snow_cover,NA,137,0,292
max_temp,NA,138,8.5,293
snow_cover,NA,138,0,293
max_temp,NA,139,12,294
snow_cover,NA,139,0,294
max_temp,NA,140,14.5,295
snow_cover,NA,140,0,295
max_temp,NA,141,16,296
snow_cover,NA,141,0,296
max_temp,NA,142,16.5,297
snow_cover,NA,142,0,297
max_temp,NA,143,17,298
snow_cover,NA,143,0,298
max_temp,NA,144,15,299
snow_cover,NA,144,0,299
max_temp,NA,145,10,300
snow_cover,NA,145,0,300
max_temp,NA,146,12.5,301
snow_cover,NA,146,0,301
max_temp,NA,147,3,302
snow_cover,NA,147,0,302
max_temp,NA,148,7,303
snow_cover,NA,148,0,303
max_temp,NA,149,8,304
snow_cover,NA,149,0,304
max_temp,NA,150,2,305
snow_cover,NA,150,0,305
max_temp,NA,151,0,306
snow_cover,NA,151,0,306
max_temp,NA,152,1,307
snow_cover,NA,152,0,307
max_temp,NA,153,4.5,308
snow_cover,NA,153,0,308
max_temp,NA,154,9,309
snow_cover,NA,154,0,309
max_temp,NA,155,0,310
snow_cover,NA,155,0,310
max_temp,NA,156,-3,311
snow_cover,NA,156,0,311
max_temp,NA,157,-3.5,312
snow_cover,NA,157,0,312
max_temp,NA,158,2,313
snow_cover,NA,158,0,313
max_temp,NA,159,1,314
snow_cover,NA,159,0,314
max_temp,NA,160,-10,315
snow_cover,NA,160,1,315
max_temp,NA,161,-7,316
snow_cover,NA,161,1,316
max_temp,NA,162,-3.5,317
snow_cover,NA,162,1,317
max_temp,NA,163,3,318
snow_cover,NA,163,1,318
max_temp,NA,164,2.5,319
snow_cover,NA,164,1,319
max_temp,NA,165,-3,320
snow_cover,NA,165,1,320
max_temp,NA,166,-3,321
snow_cover,NA,166,0,321
max_temp,NA,167,-12,322
snow_cover,NA,167,1,322
max_temp,NA,168,-18,323
snow_cover,NA,168,9,323
max_temp,NA,169,-20,324
snow_cover,NA,169,10,324
max_temp,NA,170,-19.5,325
snow_cover,NA,170,9,325
max_temp,NA,171,-11.5,326
snow_cover,NA,171,7,326
max_temp,NA,172,-7.5,327
snow_cover,NA,172,7,327
max_temp,NA,173,-14.5,328
snow_cover,NA,173,7,328
max_temp,NA,174,-16,329
snow_cover,NA,174,7,329
max_temp,NA,175,-11,330
snow_cover,NA,175,7,330
max_temp,NA,176,-2,331
snow_cover,NA,176,7,331
max_temp,NA,177,-1,332
snow_cover,NA,177,7,332
max_temp,NA,178,-3,333
snow_cover,NA,178,6,333
max_temp,NA,179,-8.5,334
snow_cover,NA,179,6,334
max_temp,NA,180,-5,335
snow_cover,NA,180,6,335
max_temp,NA,181,-4,336
snow_cover,NA,181,6,336
max_temp,NA,182,-4.5,337
snow_cover,NA,182,6,337
max_temp,NA,183,-2,338
snow_cover,NA,183,6,338
max_temp,NA,184,-7.5,339
snow_cover,NA,184,6,339
max_temp,NA,185,-14.5,340
snow_cover,NA,185,6,340
max_temp,NA,186,-20,341
snow_cover,NA,186,8,341
max_temp,NA,187,0,342
snow_cover,NA,187,8,342
max_temp,NA,188,-3.5,343
snow_cover,NA,188,8,343
max_temp,NA,189,-5.5,344
snow_cover,NA,189,7,344
max_temp,NA,190,-6,345
snow_cover,NA,190,7,345
max_temp,NA,191,-2.5,346
snow_cover,NA,191,7,346
max_temp,NA,192,-3.5,347
snow_cover,NA,192,7,347
max_temp,NA,193,-3,348
snow_cover,NA,193,7,348
max_temp,NA,194,2,349
snow_cover,NA,194,7,349
max_temp,NA,195,-1,350
snow_cover,NA,195,6,350
max_temp,NA,196,-3,351
snow_cover,NA,196,6,351
max_temp,NA,197,-4,352
snow_cover,NA,197,6,352
max_temp,NA,198,-9,353
snow_cover,NA,198,6,353
max_temp,NA,199,-9,354
snow_cover,NA,199,6,354
max_temp,NA,200,-12,355
snow_cover,NA,200,8,355
max_temp,NA,201,-12,356
snow_cover,NA,201,11,356
max_temp,NA,202,-13,357
snow_cover,NA,202,11,357
max_temp,NA,203,-2,358
snow_cover,NA,203,12,358
max_temp,NA,204,-2,359
snow_cover,NA,204,10,359
max_temp,NA,205,-3.5,360
snow_cover,NA,205,10,360
max_temp,NA,206,-5,361
snow_cover,NA,206,10,361
max_temp,NA,207,-3.5,362
snow_cover,NA,207,11,362
max_temp,NA,208,-2,363
snow_cover,NA,208,15,363
max_temp,NA,209,1,364
snow_cover,NA,209,15,364
max_temp,NA,210,1,365
snow_cover,NA,210,15,365
max_temp,NA,211,-24.5,366
snow_cover,NA,211,9,366
max_temp,NA,212,-25,367
snow_cover,NA,212,9,367
max_temp,NA,213,-25.5,368
snow_cover,NA,213,10,368
max_temp,NA,214,-30,369
snow_cover,NA,214,10,369
max_temp,NA,215,-24,370
snow_cover,NA,215,10,370
max_temp,NA,216,-15,371
snow_cover,NA,216,10,371
max_temp,NA,217,-27,372
snow_cover,NA,217,13,372
max_temp,NA,218,-22,373
snow_cover,NA,218,17,373
max_temp,NA,219,-22,374
snow_cover,NA,219,20,374
max_temp,NA,220,-22,375
snow_cover,NA,220,22,375
max_temp,NA,221,-18,376
snow_cover,NA,221,22,376
max_temp,NA,222,-11,377
snow_cover,NA,222,22,377
max_temp,NA,223,4,378
snow_cover,NA,223,22,378
max_temp,NA,224,-17,379
snow_cover,NA,224,22,379
max_temp,NA,225,-25,380
snow_cover,NA,225,22,380
max_temp,NA,226,-16,381
snow_cover,NA,226,22,381
max_temp,NA,227,-15,382
snow_cover,NA,227,27,382
max_temp,NA,228,-25,383
snow_cover,NA,228,27,383
max_temp,NA,229,-24,384
snow_cover,NA,229,26,384
max_temp,NA,230,-27,385
snow_cover,NA,230,26,385
max_temp,NA,231,-28,386
snow_cover,NA,231,25,386
max_temp,NA,232,-25,387
snow_cover,NA,232,26,387
max_temp,NA,233,-26,388
snow_cover,NA,233,27,388
max_temp,NA,234,-4,389
snow_cover,NA,234,32,389
max_temp,NA,235,0,390
snow_cover,NA,235,31,390
max_temp,NA,236,-9,391
snow_cover,NA,236,30,391
max_temp,NA,237,-20,392
snow_cover,NA,237,29,392
max_temp,NA,238,-16,393
snow_cover,NA,238,23,393
max_temp,NA,239,-22,394
snow_cover,NA,239,34,394
max_temp,NA,240,-12,395
snow_cover,NA,240,35,395
max_temp,NA,241,-12,396
snow_cover,NA,241,35,396
max_temp,NA,242,-17,397
snow_cover,NA,242,36,397
max_temp,NA,243,-21,398
snow_cover,NA,243,35,398
max_temp,NA,244,-17,399
snow_cover,NA,244,35,399
max_temp,NA,245,-13,400
snow_cover,NA,245,35,400
max_temp,NA,246,-2,401
snow_cover,NA,246,34,401
max_temp,NA,247,-2,402
snow_cover,NA,247,34,402
max_temp,NA,248,-15,403
snow_cover,NA,248,32,403
max_temp,NA,249,-20,404
snow_cover,NA,249,32,404
max_temp,NA,250,-11,405
snow_cover,NA,250,32,405
max_temp,NA,251,-13,406
snow_cover,NA,251,36,406
max_temp,NA,252,-12,407
snow_cover,NA,252,35,407
max_temp,NA,253,-14,408
snow_cover,NA,253,35,408
max_temp,NA,254,-15,409
snow_cover,NA,254,35,409
max_temp,NA,255,-14,410
snow_cover,NA,255,37,410
max_temp,NA,256,-11,411
snow_cover,NA,256,36,411
max_temp,NA,257,-8,412
snow_cover,NA,257,35,412
max_temp,NA,258,3,413
snow_cover,NA,258,35,413
max_temp,NA,259,4,414
snow_cover,NA,259,33,414
max_temp,NA,260,10,415
snow_cover,NA,260,32,415
max_temp,NA,261,6,416
snow_cover,NA,261,31,416
max_temp,NA,262,-4,417
snow_cover,NA,262,31,417
max_temp,NA,263,-6,418
snow_cover,NA,263,32,418
max_temp,NA,264,-15,419
snow_cover,NA,264,32,419
max_temp,NA,265,-21,420
snow_cover,NA,265,34,420
max_temp,NA,266,-20,421
snow_cover,NA,266,34,421
max_temp,NA,267,-9,422
snow_cover,NA,267,33,422
max_temp,NA,268,-11,423
snow_cover,NA,268,37,423
max_temp,NA,269,-12.5,424
snow_cover,NA,269,39,424
max_temp,NA,270,-19,425
snow_cover,NA,270,40,425
max_temp,NA,271,-12,426
snow_cover,NA,271,47,426
max_temp,NA,272,-15,427
snow_cover,NA,272,50,427
max_temp,NA,273,-11,428
snow_cover,NA,273,47,428
max_temp,NA,274,-3,429
snow_cover,NA,274,46,429
max_temp,NA,275,-2,430
snow_cover,NA,275,46,430
max_temp,NA,276,-11,431
snow_cover,NA,276,47,431
max_temp,NA,277,-1,432
snow_cover,NA,277,47,432
max_temp,NA,278,-2,433
snow_cover,NA,278,46,433
max_temp,NA,279,4.5,434
snow_cover,NA,279,43,434
max_temp,NA,280,0.5,435
snow_cover,NA,280,42,435
max_temp,NA,281,-1,436
snow_cover,NA,281,59,436
max_temp,NA,282,4,437
snow_cover,NA,282,56,437
max_temp,NA,283,0,438
snow_cover,NA,283,54,438
max_temp,NA,284,1,439
snow_cover,NA,284,52,439
max_temp,NA,285,-4,440
snow_cover,NA,285,50,440
max_temp,NA,286,-5,441
snow_cover,NA,286,53,441
max_temp,NA,287,-3,442
snow_cover,NA,287,52,442
max_temp,NA,288,0,443
snow_cover,NA,288,50,443
max_temp,NA,289,0,444
snow_cover,NA,289,49,444
max_temp,NA,290,5,445
snow_cover,NA,290,47,445
max_temp,NA,291,5.5,446
snow_cover,NA,291,46,446
max_temp,NA,292,2.5,447
snow_cover,NA,292,45,447
max_temp,NA,293,2,448
snow_cover,NA,293,46,448
max_temp,NA,294,2,449
snow_cover,NA,294,44,449
max_temp,NA,295,2,450
snow_cover,NA,295,44,450
max_temp,NA,296,4,451
snow_cover,NA,296,44,451
max_temp,NA,297,3,452
snow_cover,NA,297,44,452
max_temp,NA,298,6,453
snow_cover,NA,298,45,453
max_temp,NA,299,-7,454
snow_cover,NA,299,43,454
max_temp,NA,300,-11,455
snow_cover,NA,300,43,455
max_temp,NA,301,-9,456
snow_cover,NA,301,56,456
max_temp,NA,302,-11,457
snow_cover,NA,302,55,457
max_temp,NA,303,-8,458
snow_cover,NA,303,54,458
max_temp,NA,304,-6,459
snow_cover,NA,304,52,459
max_temp,NA,305,-2,460
snow_cover,NA,305,52,460
max_temp,NA,306,-3,461
snow_cover,NA,306,51,461
max_temp,NA,307,-2,462
snow_cover,NA,307,51,462
max_temp,NA,308,5,463
snow_cover,NA,308,51,463
max_temp,NA,309,6,464
snow_cover,NA,309,51,464
max_temp,NA,310,11,465
snow_cover,NA,310,50,465
max_temp,NA,311,5.5,466
snow_cover,NA,311,46,466
max_temp,NA,312,5,467
snow_cover,NA,312,43,467
max_temp,NA,313,10,468
snow_cover,NA,313,42,468
max_temp,NA,314,7,469
snow_cover,NA,314,31,469
max_temp,NA,315,5,470
snow_cover,NA,315,62,470
max_temp,NA,316,10,471
snow_cover,NA,316,46,471
max_temp,NA,317,11,472
snow_cover,NA,317,41,472
max_temp,NA,318,5,473
snow_cover,NA,318,42,473
max_temp,NA,319,7,474
snow_cover,NA,319,42,474
max_temp,NA,320,11,475
snow_cover,NA,320,38,475
max_temp,NA,321,18,476
snow_cover,NA,321,35,476
max_temp,NA,322,18.5,477
snow_cover,NA,322,26,477
max_temp,NA,323,15,478
snow_cover,NA,323,24,478
max_temp,NA,324,8,479
snow_cover,NA,324,15,479
max_temp,NA,325,11.5,480
snow_cover,NA,325,10,480
max_temp,NA,326,16,481
snow_cover,NA,326,5,481
max_temp,NA,327,20,482
snow_cover,NA,327,0,482
max_temp,NA,328,17.5,483
snow_cover,NA,328,0,483
max_temp,NA,329,11,484
snow_cover,NA,329,0,484
max_temp,NA,330,14,485
snow_cover,NA,330,0,485
max_temp,NA,331,21,486
snow_cover,NA,331,0,486
max_temp,NA,332,21,487
snow_cover,NA,332,0,487
max_temp,NA,333,14,488
snow_cover,NA,333,0,488
max_temp,NA,334,5.5,489
snow_cover,NA,334,0,489
max_temp,NA,335,4,490
snow_cover,NA,335,1,490
max_temp,NA,336,5,491
snow_cover,NA,336,8,491
max_temp,NA,337,5,492
snow_cover,NA,337,0,492
max_temp,NA,338,10,493
snow_cover,NA,338,0,493
max_temp,NA,339,12,494
snow_cover,NA,339,0,494
max_temp,NA,340,15,495
snow_cover,NA,340,0,495
max_temp,NA,341,22,496
snow_cover,NA,341,0,496
max_temp,NA,342,18,497
snow_cover,NA,342,0,497
max_temp,NA,343,18,498
snow_cover,NA,343,0,498
max_temp,NA,344,22,499
snow_cover,NA,344,0,499
max_temp,NA,345,24,500
snow_cover,NA,345,0,500
max_temp,NA,346,17,501
snow_cover,NA,346,0,501
max_temp,NA,347,23,502
snow_cover,NA,347,0,502
max_temp,NA,348,21,503
snow_cover,NA,348,0,503
max_temp,NA,349,14,504
snow_cover,NA,349,0,504
max_temp,NA,350,20,505
snow_cover,NA,350,0,505
max_temp,NA,351,23,506
snow_cover,NA,351,0,506
max_temp,NA,352,25,507
snow_cover,NA,352,0,507
max_temp,NA,353,16.5,508
snow_cover,NA,353,0,508
max_temp,NA,354,25,509
snow_cover,NA,354,0,509
max_temp,NA,355,14,510
snow_cover,NA,355,0,510
max_temp,NA,356,13,511
snow_cover,NA,356,0,511
max_temp,NA,357,11,512
snow_cover,NA,357,0,512
max_temp,NA,358,14,513
snow_cover,NA,358,0,513
max_temp,NA,359,15,514
snow_cover,NA,359,0,514
max_temp,NA,360,21,515
snow_cover,NA,360,0,515
max_temp,NA,361,22.5,516
snow_cover,NA,361,0,516
max_temp,NA,362,20,517
snow_cover,NA,362,0,517
max_temp,NA,363,24,518
snow_cover,NA,363,0,518
max_temp,NA,364,23,519
snow_cover,NA,364,0,519
max_temp,NA,365,25,520
snow_cover,NA,365,0,520
max_temp,NA,366,9.5,521
snow_cover,NA,366,0,521
max_temp,NA,367,8,522
snow_cover,NA,367,0,522
max_temp,NA,368,15.5,523
snow_cover,NA,368,0,523
max_temp,NA,369,18,524
snow_cover,NA,369,0,524
max_temp,NA,370,19,525
snow_cover,NA,370,0,525
max_temp,NA,371,19.5,526
snow_cover,NA,371,0,526
max_temp,NA,372,26,527
snow_cover,NA,372,0,527
max_temp,NA,373,28.5,528
snow_cover,NA,373,0,528
max_temp,NA,374,30,529
snow_cover,NA,374,0,529
max_temp,NA,375,25.5,530
snow_cover,NA,375,0,530
max_temp,NA,376,24,531
snow_cover,NA,376,0,531
max_temp,NA,377,23,532
snow_cover,NA,377,0,532
max_temp,NA,378,23,533
snow_cover,NA,378,0,533
max_temp,NA,379,26.5,534
snow_cover,NA,379,0,534
max_temp,NA,380,27,535
snow_cover,NA,380,0,535
max_temp,NA,381,29.5,536
snow_cover,NA,381,0,536
max_temp,NA,382,31.5,537
snow_cover,NA,382,0,537
max_temp,NA,383,24.5,538
snow_cover,NA,383,0,538
max_temp,NA,384,20.5,539
snow_cover,NA,384,0,539
max_temp,NA,385,19,540
snow_cover,NA,385,0,540
max_temp,NA,386,22,541
snow_cover,NA,386,0,541
max_temp,NA,387,24,542
snow_cover,NA,387,0,542
max_temp,NA,388,18.5,543
snow_cover,NA,388,0,543
max_temp,NA,389,23,544
snow_cover,NA,389,0,544
max_temp,NA,390,23,545
snow_cover,NA,390,0,545
max_temp,NA,391,20,546
snow_cover,NA,391,0,546
max_temp,NA,392,25,547
snow_cover,NA,392,0,547
max_temp,NA,393,16,548
snow_cover,NA,393,0,548
max_temp,NA,394,16.5,549
snow_cover,NA,394,0,549
max_temp,NA,395,15,550
snow_cover,NA,395,0,550
max_temp,NA,396,19.5,551
snow_cover,NA,396,0,551
max_temp,NA,397,20.5,552
snow_cover,NA,397,0,552
max_temp,NA,398,22.5,553
snow_cover,NA,398,0,553
max_temp,NA,399,19,554
snow_cover,NA,399,0,554
max_temp,NA,400,23,555
snow_cover,NA,400,0,555
max_temp,NA,401,25.5,556
snow_cover,NA,401,0,556
max_temp,NA,402,26,557
snow_cover,NA,402,0,557
max_temp,NA,403,24,558
snow_cover,NA,403,0,558
max_temp,NA,404,26,559
snow_cover,NA,404,0,559
max_temp,NA,405,19.5,560
snow_cover,NA,405,0,560
max_temp,NA,406,17,561
snow_cover,NA,406,0,561
max_temp,NA,407,20,562
snow_cover,NA,407,0,562
max_temp,NA,408,22,563
snow_cover,NA,408,0,563
max_temp,NA,409,21.5,564
snow_cover,NA,409,0,564
max_temp,NA,410,19,565
snow_cover,NA,410,0,565
max_temp,NA,411,15.5,566
snow_cover,NA,411,0,566
max_temp,NA,412,21,567
snow_cover,NA,412,0,567
max_temp,NA,413,15,568
snow_cover,NA,413,0,568
max_temp,NA,414,21.5,569
snow_cover,NA,414,0,569
max_temp,NA,415,22.5,570
snow_cover,NA,415,0,570
max_temp,NA,416,24,571
snow_cover,NA,416,0,571
max_temp,NA,417,24.5,572
snow_cover,NA,417,0,572
max_temp,NA,418,25.5,573
snow_cover,NA,418,0,573
max_temp,NA,419,23.5,574
snow_cover,NA,419,0,574
max_temp,NA,420,28.5,575
snow_cover,NA,420,0,575
max_temp,NA,421,28,576
snow_cover,NA,421,0,576
max_temp,NA,422,25.5,577
snow_cover,NA,422,0,577
max_temp,NA,423,23.5,578
snow_cover,NA,423,0,578
max_temp,NA,424,16,579
snow_cover,NA,424,0,579
max_temp,NA,425,12,580
snow_cover,NA,425,0,580
max_temp,NA,426,22,581
snow_cover,NA,426,0,581
max_temp,NA,427,23,582
snow_cover,NA,427,0,582
max_temp,NA,428,22,583
snow_cover,NA,428,0,583
max_temp,NA,429,22,584
snow_cover,NA,429,0,584
max_temp,NA,430,23,585
snow_cover,NA,430,0,585
max_temp,NA,431,23.5,586
snow_cover,NA,431,0,586
max_temp,NA,432,26.5,587
snow_cover,NA,432,0,587
max_temp,NA,433,18,588
snow_cover,NA,433,0,588
max_temp,NA,434,19,589
snow_cover,NA,434,0,589
max_temp,NA,435,20,590
snow_cover,NA,435,0,590
max_temp,NA,436,11.5,591
snow_cover,NA,436,0,591
max_temp,NA,437,14,592
snow_cover,NA,437,0,592
max_temp,NA,438,20.5,593
snow_cover,NA,438,0,593
max_temp,NA,439,23.5,594
snow_cover,NA,439,0,594
max_temp,NA,440,22,595
snow_cover,NA,440,0,595
max_temp,NA,441,21,596
snow_cover,NA,441,0,596
max_temp,NA,442,24,597
snow_cover,NA,442,0,597
max_temp,NA,443,22.5,598
snow_cover,NA,443,0,598
max_temp,NA,444,18.5,599
snow_cover,NA,444,0,599
max_temp,NA,445,19.5,600
snow_cover,NA,445,0,600
max_temp,NA,446,17.5,601
snow_cover,NA,446,0,601
max_temp,NA,447,10.5,602
snow_cover,NA,447,0,602
max_temp,NA,448,11.5,603
snow_cover,NA,448,0,603
max_temp,NA,449,14.5,604
snow_cover,NA,449,0,604
max_temp,NA,450,15,605
snow_cover,NA,450,0,605
max_temp,NA,451,11,606
snow_cover,NA,451,0,606
max_temp,NA,452,10,607
snow_cover,NA,452,0,607
max_temp,NA,453,17.5,608
snow_cover,NA,453,0,608
max_temp,NA,454,17,609
snow_cover,NA,454,0,609
max_temp,NA,455,24.5,610
snow_cover,NA,455,0,610
max_temp,NA,456,23,611
snow_cover,NA,456,0,611
max_temp,NA,457,9.5,612
snow_cover,NA,457,0,612
max_temp,NA,458,12,613
snow_cover,NA,458,0,613
max_temp,NA,459,21,614
snow_cover,NA,459,0,614
max_temp,NA,460,23.5,615
snow_cover,NA,460,0,615
max_temp,NA,461,21,616
snow_cover,NA,461,0,616
max_temp,NA,462,22.5,617
snow_cover,NA,462,0,617
max_temp,NA,463,14,618
snow_cover,NA,463,0,618
max_temp,NA,464,13,619
snow_cover,NA,464,0,619
max_temp,NA,465,7,620
snow_cover,NA,465,0,620
max_temp,NA,466,10.5,621
snow_cover,NA,466,0,621
max_temp,NA,467,14,622
