"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*KAPUSKASING CDA","ON"," 49°24'00.000"" N"," 82°26'00.000"" W","217.9 m","6073960","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
">= 10 mm","0.0","0.13","0.40","0.83","1.8","2.6","3.1","2.5","3.0","2.0","0.57","0.13","17.1","A"
">= 25 mm","0.0","0.0","0.0","0.13","0.20","0.40","0.70","0.53","0.37","0.27","0.07","0.03","2.7","A"
"Days With Snowfall"
">= 0.2 cm","16.2","11.3","10.1","5.7","1.4","0.10","0.0","0.0","0.47","5.4","13.1","16.1","79.9","A"
">= 5 cm","3.5","2.1","2.7","1.6","0.40","0.0","0.0","0.0","0.0","1.0","2.5","3.3","17.0","A"
">= 10 cm","1.2","0.67","1.0","0.67","0.20","0.0","0.0","0.0","0.0","0.47","0.93","1.0","6.2","A"
">= 25 cm","0.07","0.0","0.03","0.07","0.0","0.0","0.0","0.0","0.0","0.07","0.03","0.07","0.34","A"
"Days with Precipitation"
">= 0.2 mm","16.7","11.9","12.0","10.1","13.2","15.6","15.7","14.5","19.5","17.6","16.5","16.7","180.1","A"
">= 5 mm","3.2","1.9","3.2","3.5","4.4","6.0","5.9","4.6","5.9","5.1","4.0","3.2","51.0","A"
">= 10 mm","1.0","0.70","1.6","1.6","2.1","2.6","3.1","2.5","3.0","2.5","1.5","1.0","23.2","A"
">= 25 mm","0.13","0.0","0.07","0.20","0.37","0.40","0.70","0.53","0.37","0.40","0.23","0.07","3.5","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.6","1.5","0.5","0.0","0.0","0.0","0.0","2.7","A"
"Above 18 °C","0.0","0.0","0.0","0.1","4.9","19.4","35.5","24.8","5.0","0.1","0.0","0.0","89.9","A"
"Above 15 °C","0.0","0.0","0.0","1.0","16.1","50.1","88.0","66.3","15.3","0.9","0.0","0.0","237.5","A"
"Above 10 °C","0.0","0.0","0.0","6.0","60.1","147.4","224.5","186.8","64.0","10.3","0.4","0.0","699.5","A"
"Above 5 °C","0.0","0.1","1.2","23.7","147.0","282.6","379.0","338.9","170.3","47.1","5.2","0.2","1395.2","A"
"Above 0 °C","0.1","2.3","15.0","79.4","280.4","431.2","534.0","493.9","314.5","138.4","26.2","1.9","2317.4","A"
"Below 0 °C","585.1","447.3","287.5","68.8","2.5","0.0","0.0","0.0","0.1","14.5","158.5","442.7","2006.9","A"
"Below 5 °C","740.0","586.4","428.7","163.1","24.1","1.4","0.0","0.0","5.9","78.2","287.4","596.1","2911.1","A"
"Below 10 °C","895.0","727.7","582.5","295.5","92.2","16.2","0.5","2.9","49.6","196.4","432.6","750.8","4041.8","A"
"Below 15 °C","1050.0","869.0","737.5","440.4","203.2","68.9","18.9","37.4","150.8","342.0","582.2","905.8","5406.1","A"
"Below 18 °C","1143.0","953.8","830.5","529.6","285.1","128.2","59.5","88.9","230.6","434.2","672.2","998.8","6354.2","A"
"Soil Temperature"
"at 5 cm depth (AM obs) (°C)","-1.4","-1.3","-1.0","-0.1","6.2","12.6","16.0","15.1","10.5","4.7","0.7","-1.0","5.1","A"
"at 5 cm depth (PM obs) (°C)","-1.4","-1.3","-1.0","1.0","10.5","16.9","20.4","19.0","13.1","6.2","0.9","-0.9","7.0","A"
"at 10 cm depth (AM obs) (°C)","-1.6","-1.6","-1.4","-0.5","5.9","12.2","15.7","15.0","10.7","4.8","0.8","-1.0","4.9","C"
"at 10 cm depth (PM obs) (°C)","-1.6","-1.6","-1.4","-0.1","7.8","14.1","17.9","16.7","11.7","5.3","0.9","-1.0","5.7","C"
"at 20 cm depth (AM obs) (°C)","-0.4","-0.5","-0.4","0.4","7.0","13.4","17.1","16.4","12.1","6.2","1.9","0.3","6.1","A"
"at 20 cm depth (PM obs) (°C)","-0.4","-0.5","-0.4","0.5","7.5","14.0","17.7","16.9","12.3","6.3","1.9","0.2","6.4","A"
"at 50 cm depth (AM obs) (°C)","0.5","0.2","0.0","0.3","5.5","11.6","15.3","15.6","12.3","7.3","3.1","1.2","6.1","A"
"at 100 cm depth (AM obs) (°C)","1.9","1.3","1.1","1.0","3.6","8.6","12.2","13.6","12.1","8.6","5.1","3.0","6.0","C"
"at 150 cm depth (AM obs) (°C)","2.8","2.1","1.8","1.5","3.0","7.0","10.4","12.1","11.2","9.1","6.1","4.0","5.9","C"
"at 300 cm depth (AM obs) (°C)","5.5","4.7","4.1","3.7","3.6","4.7","6.5","8.2","9.1","9.0","8.0","6.6","6.1","D"
"Bright Sunshine"
"Total Hours","80.3","113.1","145.4","181.7","220.1","224.9","252.4","227.6","126.9","82.1","53.2","59.3","1766.7","A"
"Days with measurable","20.8","22.2","24.4","24.7","26.4","27.2","29.3","28.9","24.6","21.3","16.2","17.4","283.3","A"
"% of possible daylight hours","29.8","39.6","39.5","44.2","46.3","46.3","51.5","51.0","33.5","24.5","19.3","23.1","37.4","A"
"Extreme Daily","8.5","10.2","10.7","13.9","14.9","15.3","15.2","14.1","12.7","10.1","9.2","7.8","","A"
"Date (yyyy/dd)","1988/21","1982/25","1998/21","1982/29","1985/28","1979/18","1977/10","1990/06","1991/02","1977/18","1975/05","1975/11",""," "
